lon,lat,amenity
-0.1528165,51.524364,   
-0.0933878,51.529125,bicycle_rental
-0.1431214,51.528263,advice
-0.1402758,51.534256,bicycle_parking
-0.1946078,51.60084,pub
-0.1935029,51.60203,restaurant
-0.196028,51.59958,pub
-0.1765556,51.614105,pub
-0.0125934,51.462315,parking_entrance
-0.4059463,51.37331,fuel
-0.1965456,51.599014,post_box
-0.4100545,51.377098,post_office
-0.3017784,51.410805,post_box
-0.3050068,51.410023,post_box
-0.1616453,51.35099,place_of_worship
-0.3854572,51.337307,post_box
0.0337981,51.585636,post_box
-0.4129922,51.329144,place_of_worship
-0.4047306,51.33736,fuel
-0.3884515,51.488823,parking
0.0279621,51.592014,pub
0.0282186,51.57599,pub
-0.444153,51.409935,pub
-0.4491484,51.423237,traffic_light_camera
-0.4486348,51.423317,fuel
-0.1156142,51.521076,library
-0.0016647,51.43978,post_office
-0.0086787,51.435287,post_box
-0.0019854,51.437607,post_box
-0.0206975,51.444626,library
-0.0391511,51.424946,parking
-0.0386701,51.425392,parking
-0.500006,51.656944,pub
-0.1698266,51.51648,pub
-0.3343128,51.3047,telephone
-0.4145948,51.449257,telephone
-0.3362121,51.409927,fountain
-0.0644718,51.651825,parking
-0.3355776,51.574615,parking
-0.2266975,51.46286,pub
-0.4830669,51.636723,fuel
-0.4224129,51.390247,pub
-0.117551,51.530273,disused_pub
-0.3275202,51.295326,pub
-0.33019,51.29549,pub
-0.3302208,51.299656,police
-0.3304469,51.29823,fuel
-0.1777428,51.500423,pub
-0.3213755,51.299786,post_box
-0.3323747,51.408733,toilets
-0.3340174,51.411007,cafe
-0.3360281,51.40591,toilets
-0.5382823,51.315617,post_box
-0.2057992,51.467506,post_box
-0.2100687,51.46919,pub
-0.1811598,51.472725,pub
-0.1352243,51.666416,parking
-0.1185504,51.364258,fuel
-0.1293848,51.356705,recycling
-0.1171568,51.36989,fuel
-0.1277262,51.41976,fuel
-0.2434391,51.39894,fuel
-0.3611851,51.556232,fuel
-0.1067767,51.512585,post_box
-0.1091282,51.517883,bicycle_parking
-0.1117428,51.51533,pub
-0.1192033,51.517235,pub
-0.1189566,51.517345,bar
-0.119321,51.51634,bar
-0.0197931,51.43879,post_box
-0.3223358,51.654522,aircraft_fuel
-0.341838,51.579113,fuel
-0.1041421,51.516827,atm
-0.1043348,51.515404,pub
-0.0997325,51.51507,bar
-0.3387658,51.509136,parking
-0.3356421,51.557846,post_office
-0.4129625,51.398117,cafe
-0.4228087,51.388653,pub
-0.0522207,51.53309,post_box
-0.489727,51.408443,post_box
-0.0572372,51.53284,post_box
0.1809151,51.280895,post_box
0.185312,51.283276,post_box
-0.1212167,51.512848,pub
-0.0785077,51.50968,pub
-0.0937556,51.519775,cinema
-0.0776978,51.511417,pub
-0.0772257,51.511505,post_box
-0.1292505,51.52658,cafe
-0.1194192,51.52335,waste_basket
-0.1227561,51.521088,pub
-0.1110639,51.50623,parking
-0.1161125,51.524765,cafe
-0.1233084,51.52845,pub
-0.1139889,51.499413,pub
0.0034181,51.40534,pub
-0.0133037,51.380352,pub
-0.1168602,51.484272,post_box
-0.1156064,51.4871,fuel
-0.1206603,51.48857,post_box
-0.1877624,51.539795,pub
-0.1322444,51.49464,toilets
-0.3645835,51.55443,post_box
-0.3722273,51.551785,post_box
-0.1305636,51.49075,recycling
-0.0795688,51.51148,post_box
-0.3385051,51.50896,pub
-0.1087008,51.53443,pub
-0.1072883,51.53479,pub
-0.3352965,51.57475,parking
-0.3394802,51.551746,fuel
-0.1807384,51.551945,post_box
-0.0375768,51.63222,bus_station
-0.0990941,51.578014,pub
-0.0987516,51.576374,pub
-0.1055889,51.665977,parking_entrance
-0.038511,51.453407,pub
-0.174963,51.560383,post_box
-0.1383959,51.556652,pub
-0.1384439,51.557102,bar
-0.1132265,51.51238,pub
-0.133287,51.54558,fuel
-0.1466139,51.54109,bar
-0.14576,51.54124,bar
-0.0594051,51.623524,parking
-0.0761147,51.551052,recycling
0.4087992,51.631954,post_office
-0.0724776,51.550903,cafe
-0.1954392,51.600437,courthouse
-0.2989338,51.379433,post_box
-0.0681217,51.554527,recycling
0.0508674,51.451595,toilets
-0.1027062,51.56552,fuel
-0.104466,51.564514,pub
-0.2125085,51.294933,pub
-0.0750091,51.55313,recycling
-0.111228,51.568798,post_box
-0.1126397,51.569378,pub
-0.4461559,51.496113,fuel
-0.113225,51.569893,post_box
-0.1128858,51.569717,telephone
-0.1184085,51.568993,telephone
-0.1053998,51.56461,bar
-0.2444046,51.51249,telephone
-0.0549145,51.564423,post_box
-0.05496,51.567623,post_box
-0.0570885,51.56865,cafe
-0.1031148,51.536674,pub
-0.2424157,51.641987,pub
0.4186069,51.62889,telephone
0.4182029,51.62906,post_box
0.4170273,51.62938,parking
0.4188488,51.636353,post_box
0.4173041,51.6271,doctors
0.4182769,51.629272,fuel
-0.1901579,51.317665,pub
-0.193685,51.32473,place_of_worship
-0.1914183,51.327213,post_box
-0.202926,51.325294,post_box
-0.0998416,51.525654,telephone
-0.1002301,51.527,telephone
-0.1621495,51.379337,post_box
-0.1675599,51.37775,post_box
-0.1655579,51.374073,post_box
-0.1681033,51.372433,telephone
-0.1702562,51.3755,post_box
-0.1755442,51.373188,telephone
-0.1750104,51.37266,post_box
-0.1680723,51.38063,post_box
0.4168282,51.62887,place_of_worship
-0.1078232,51.52712,telephone
