cell_id,Unnamed: 0,lon,lat,amenity_   ,amenity_Childrens Centre,amenity_Housing Office,amenity_Nutritionist,amenity_Samuel Court,amenity_Scout_hut,amenity_Scouts,amenity_Shisha_Lounge,amenity_accountants,amenity_adult_education,amenity_advice,amenity_advice_bureau,amenity_aircraft_fuel,amenity_animal_boarding,amenity_animal_shelter,amenity_archive,amenity_archives,amenity_art,amenity_art_gallery,amenity_art_school,amenity_arts_centre,amenity_atm,amenity_atm;telephone,amenity_bakery,amenity_bank,amenity_bar,amenity_bar;restaurant,amenity_bbq,amenity_beauty_clinic,amenity_bell,amenity_bench,amenity_bicycle_parking,amenity_bicycle_pump,amenity_bicycle_rental,amenity_bicycle_repair_station,amenity_biergarten,amenity_bin,amenity_binoculars,amenity_bird_hide,amenity_boat_rental,amenity_boat_storage,amenity_bookmaker,amenity_boot_brush,amenity_boot_cleaner,amenity_brothel,amenity_buggy_parking,amenity_building_society,amenity_bureau_de_change,amenity_bus_station,amenity_business,amenity_cabinet,amenity_cadet hut,amenity_cafe,amenity_canteen,amenity_car_pound,amenity_car_rental,amenity_car_sharing,amenity_car_wash,amenity_care_home,amenity_casino,amenity_charging_station,amenity_check_in,amenity_childcare,amenity_childrens_play_centre,amenity_chiropodist,amenity_church_hall,amenity_cinema,amenity_cinema; theatre,amenity_clinic,amenity_clock,amenity_clothes_dryer,amenity_club,amenity_collection_point,amenity_college,amenity_community_centre,amenity_community_centre;preschool,amenity_community_hall,amenity_composting,amenity_compressed_air,amenity_concert_hall,amenity_conference_centre,amenity_construction,amenity_cookery_school,amenity_counselling,amenity_court_house,amenity_courthouse,amenity_coworking_space,amenity_coworking_space;cafe,amenity_crematorium,amenity_cyber_cafe,amenity_dancing_school,amenity_dead_post_office,amenity_dead_pub,amenity_deli,amenity_delivery_office,amenity_dentist,amenity_device_charging_station,amenity_disused,amenity_disused:pub,amenity_disused:restaurant,amenity_disused_post_box,amenity_disused_pub,amenity_dive_centre,amenity_doctors,amenity_dog_litter_box,amenity_dog_waste_basket,amenity_dojo,amenity_drinking_water,amenity_driving_school,amenity_driving_test_centre,amenity_dry_cleaners,amenity_education_centre,amenity_employment_agency,amenity_escape_game,amenity_escooter_rental,amenity_estate_agent,amenity_events_venue,amenity_fast_food,amenity_fast_food;restaurant,amenity_ferry_terminal,amenity_financial_advice,amenity_fire_station,amenity_fixme,amenity_flight_school,amenity_food_court,amenity_food_sharing,amenity_former_fast_food,amenity_former_fuel,amenity_former_police,amenity_former_pub,amenity_formerly_cafe,amenity_fountain,amenity_fuel,amenity_gallery,amenity_gambling,amenity_garage,amenity_gate,amenity_grave_yard,amenity_grit_bin,amenity_gym,amenity_hairdresser,amenity_hall,amenity_health,amenity_health_centre,amenity_healthcare,amenity_hookah_lounge,amenity_hospital,amenity_hospital_department,amenity_housing_office,amenity_hunting_stand,amenity_ice_cream,amenity_information,amenity_information_centre,amenity_interior,amenity_internet_cafe,amenity_job_centre,amenity_juice_bar,amenity_kindergarten,amenity_kitchen,amenity_language_school,amenity_launderette,amenity_learned_society,amenity_learned_society;library,amenity_left_luggage,amenity_leisure_centre,amenity_letter_box,amenity_library,amenity_lifeboat,amenity_lifeboat_station,amenity_lift,amenity_litter_bin,amenity_livery_hall,amenity_loading_dock,amenity_locker,amenity_locksmith,amenity_lost_property,amenity_lounge,amenity_lounger,amenity_mall,amenity_marketplace,amenity_massage_parlour,amenity_mechanic,amenity_medical,amenity_medical_centre,amenity_micro_scooter_parking,amenity_mobile_library,amenity_mobile_phone_mast,amenity_monastery,amenity_money_transfer,amenity_mortuary,amenity_motorcycle_parking,amenity_motorcycle_parking;telephone,amenity_mounting_block,amenity_municipal,amenity_music_school,amenity_music_venue,amenity_musical_instrument,amenity_newspaper_distribution_bin,amenity_nightclub,amenity_notice_board,amenity_nursery,amenity_nursing_home,amenity_office,amenity_old_pub,amenity_parcel_licker,amenity_parcel_locker,amenity_parcel_lockers,amenity_parking,amenity_parking_entrance,amenity_parking_meter,amenity_parking_space,amenity_pawnbroker,amenity_pet,amenity_pet_waste_basket,amenity_pharmacy,amenity_phone,amenity_photo_booth,amenity_piano,amenity_place_of_worship,amenity_play_centre,amenity_plumber,amenity_pole,amenity_police,amenity_polling_station,amenity_post_box,amenity_post_box;bicycle_parking,amenity_post_depot,amenity_post_office,amenity_power_socket,amenity_prep_school,amenity_printer,amenity_printers,amenity_private_club,amenity_pub,amenity_pub_construction,amenity_public_bookcase,amenity_public_building,amenity_public_display_screen,amenity_public_hall,amenity_reception_desk,amenity_recycling,amenity_register_office,amenity_reprographics,amenity_research_institute,amenity_residential_home,amenity_restaurant,amenity_sanitary_dump_station,amenity_school,amenity_scooter_parking,amenity_scout,amenity_scout_hall,amenity_scout_hut,amenity_sculpture,amenity_security,amenity_security_control,amenity_self_storage,amenity_serviced_office,amenity_shared_office,amenity_shelter,amenity_shoe_shine,amenity_shopping,amenity_shops,amenity_shower,amenity_smoking_area,amenity_snooker_hall,amenity_social,amenity_social_centre,amenity_social_club,amenity_social_facility,amenity_solicitor,amenity_spa,amenity_speed_trap,amenity_sport,amenity_sports_club,amenity_stables,amenity_storage,amenity_stripclub,amenity_student_accommodation,amenity_student_union,amenity_studio,amenity_studio;theatre,amenity_stumps,amenity_surgery,amenity_swingerclub,amenity_tailor,amenity_tanning,amenity_taxi,amenity_taxi_point,amenity_telephone,amenity_telephone_exchange,amenity_temporary_toilet_site,amenity_theatre,amenity_therapists,amenity_ticket_booth,amenity_ticket_office,amenity_ticket_validator,amenity_toilets,amenity_townhall,amenity_traffic_camera,amenity_traffic_light_camera,amenity_training,amenity_translation_services,amenity_trolley_bay,amenity_tuition,amenity_tutoring_centre,amenity_university,amenity_user_defined,amenity_vacant,amenity_vacuum_cleaner,amenity_van_rental,amenity_vehicle_inspection,amenity_vending_machine,amenity_vending_machine;post_box,amenity_veterinary,amenity_viewing_platform,amenity_village_hall,amenity_waiting_room,amenity_warehouse,amenity_waste_basket,amenity_waste_disposal,amenity_waste_transfer_station,amenity_water_fountain,amenity_water_point,amenity_water_pump,amenity_watering_place,amenity_weapon_bin,amenity_weathervane,amenity_weighbridge,amenity_yes,amenity_youth_project
728,3653672,-46.6411233,4236.973762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,22,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
754,8466008,-119.2235648,10889.360362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,1,0,0,0,0,0,43,0,1,4,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,1,0
756,10328666,-106.2859462,12816.928488,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,45,1,0,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,6,0,0,0,6,1,0,0,0,0,42,0,0,5,0,0,0,0,0,8,0,1,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
780,19272487,-247.9613117,22440.346481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,110,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2,0,0,3,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,9,0,0,0,7,0,0,0,2,0,36,0,0,5,0,1,0,0,0,23,0,0,0,0,0,0,2,0,0,0,0,26,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,47,0,0,0,1,0,0,0,0,0,1,0
783,71007720,-679.002332,80627.173268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,20,10,0,0,0,0,295,115,0,33,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,50,0,0,1,0,6,0,0,2,0,7,0,0,0,4,0,3,5,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,12,0,0,0,2,1,0,0,0,0,0,0,0,0,68,0,0,0,3,0,0,0,0,0,0,0,1,0,2,16,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,35,21,0,2,0,0,0,23,0,0,0,21,0,0,0,3,0,195,0,0,27,0,0,0,0,0,52,0,2,0,0,0,0,4,0,0,0,0,90,2,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,33,0,0,1,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,1,0,0,0,19,0,9,0,0,0,0,179,2,1,0,4,1,11,0,0,0,0,0
784,5085896,-24.5189522,4962.027932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
806,17790153,-254.7669022,23116.40498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,1,0,0,0,0,73,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,2,0,3,0,0,0,3,0,0,0,4,0,0,0,0,0,74,0,0,4,0,0,0,0,0,4,0,3,0,0,0,0,13,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0,0,2,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0
810,65422704,-692.7279092,80365.666614,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,49,0,0,7,1,0,1,0,0,254,123,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,62,0,0,15,0,6,0,0,23,0,4,0,0,0,2,0,3,6,0,0,0,2,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,10,0,0,0,15,0,0,0,0,0,0,0,0,0,93,0,1,1,0,0,1,0,0,0,0,0,0,0,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3,0,0,0,0,0,0,0,0,10,0,0,1,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,47,15,0,11,0,0,0,32,1,0,0,29,0,0,0,5,0,188,0,0,23,0,0,0,0,0,86,0,1,0,0,0,0,9,0,0,0,0,97,1,15,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,58,0,0,0,0,0,0,0,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4,0,0,0,0,86,1,0,0,2,0,0,0,0,3,0,0
812,99119055,-797.4430228,160945.470268,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,62,0,0,57,12,0,1,1,0,532,221,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,137,0,0,2,6,11,0,0,23,0,5,0,0,0,2,0,12,2,0,0,0,2,11,0,0,0,4,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,32,0,0,0,0,0,0,0,24,0,1,0,2,1,1,0,0,0,0,0,0,0,160,0,0,0,2,0,0,0,0,1,1,1,0,1,9,38,0,0,0,0,0,26,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7,0,68,8,0,5,0,0,1,55,0,2,0,38,0,0,0,4,0,564,0,0,35,0,1,0,0,0,68,0,0,1,0,0,0,35,0,0,0,0,170,0,19,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,4,0,133,0,0,2,0,0,0,0,34,0,0,0,0,0,1,0,0,2,0,2,0,0,0,43,0,7,0,0,0,0,330,4,0,0,1,0,1,0,0,0,0,0
832,604136,-23.9049429,2154.479113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
