Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d1df07914b9adcf72d9cd8011eebb391049e5e3b5b67ffdb2ee53e7e23054a02,2019-10,Metropolitan Police Service,Metropolitan Police Service,0.160551,51.582460,On or near CROWNMEAD WAY,E01002330,Havering 011E,Local resolution
21ab960412e4fa559e8b0a135c27cb80a4df487f0411e2072a2271ca87e71fe9,2019-10,Metropolitan Police Service,Metropolitan Police Service,-0.130697,51.510827,On or near Nightclub,E01004734,Westminster 018A,Local resolution
5f153ff2e5a2576aa4271e7df01c346a1ddb92385481c4c14f1a112f3fd99baa,2019-10,Metropolitan Police Service,Metropolitan Police Service,-0.418931,51.517107,On or near CHURCH ROAD,E01002504,Hillingdon 027D,Suspect charged
6467ee915bae04d857617549c948b3b9fe0570c51ebbc5a4de6bb96f0b27434b,2019-10,Metropolitan Police Service,Metropolitan Police Service,-0.419836,51.495943,On or near PHELPS WAY,E01002491,Hillingdon 032D,Suspect charged
7e30054a67ab8dae01fada457312c2ec468bfdd2b7ea2f7af118ca39fcc99277,2019-10,Metropolitan Police Service,Metropolitan Police Service,-0.117430,51.520812,On or near Police Station,E01000915,Camden 027A,Offender given a caution
c4e9d7b0f2c347f9ea2e8c6d152bf6e4515c97b657df1f384ae80710aa395c2b,2019-10,Metropolitan Police Service,Metropolitan Police Service,-0.084613,51.489085,On or near SEDAN WAY,E01003971,Southwark 015D,Suspect charged
3c6026bca21b659b0ca19bf202ca04ec0cd27d5d5f0082398d311a1d98a266aa,2019-10,Metropolitan Police Service,Metropolitan Police Service,-0.077353,51.526394,On or near CALVERT AVENUE,E01033706,Hackney 027F,Offender given a caution
8c13f7fb3ee352542c946148654f784ed32fc4274599926e15332ec158bd2107,2019-10,Metropolitan Police Service,Metropolitan Police Service,-0.077353,51.526394,On or near CALVERT AVENUE,E01033706,Hackney 027F,Suspect charged
85a899e4f400855bc2c34abadadc6da48c1e0f267a7b52051b56bf16231ebea5,2019-10,Metropolitan Police Service,Metropolitan Police Service,-0.046326,51.522770,On or near FRIMLEY WAY,E01004262,Tower Hamlets 010B,Suspect charged
9139a12927c4ed8be771f325e091b356038ee7b9804bb93f620804a799a15987,2019-10,Metropolitan Police Service,Metropolitan Police Service,-0.054136,51.534680,On or near LARK ROW,E01004197,Tower Hamlets 002A,Suspect charged
