Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
725a4fb412b830970164e78e7c00079d992634af7dd94f735d716927e60d71e0,2019-12,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
2a31b69010c8b8bca87ebfabe4a192b14f747687b430bfb701f00a11bffd711b,2019-12,City of London Police,City of London Police,-0.096363,51.513377,On or near NEW CHANGE,E01032739,City of London 001F,Investigation complete; no suspect identified
0b1205a10604f3a99343586a62a543b3f9660a25334642d67cb485664903c0d0,2019-12,City of London Police,City of London Police,-0.097645,51.515142,On or near ST MARTIN'S LE GRAND,E01032739,City of London 001F,Investigation complete; no suspect identified
4d1def743cff24b49f0d34bd726e849bdebf5c9fc9397878af278f139d89a4f7,2019-12,City of London Police,City of London Police,-0.108231,51.513928,On or near PLEYDELL STREET,E01032740,City of London 001G,Investigation complete; no suspect identified
d95c73923e523e48d13cf52951ef029c85f30088ed51b54242eeee35876c6526,2019-12,City of London Police,City of London Police,-0.077029,51.510148,On or near TRINITY SQUARE,E01032739,City of London 001F,Investigation complete; no suspect identified
19abdccb048ac5addafa0c93a0bb6daea0011fcc404f4b68da66258df59d15b6,2019-12,City of London Police,City of London Police,-0.097213,51.511322,On or near CASTLE BAYNARD STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
5845b41b9f6e1806ce9b350cc8bd3e552f6a762cb8ee147ddf2b962716e6477c,2019-12,City of London Police,City of London Police,-0.081091,51.516014,On or near CAMOMILE STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
6444f88278a6605a6e8de1d97e4ac4046f1ce319d8e964ed276c9732a8a5dc85,2019-12,City of London Police,City of London Police,-0.110710,51.513914,On or near FLEET STREET,E01032740,City of London 001G,Investigation complete; no suspect identified
b00de1efff76a6fa697285fbdf2ee7c3d04f602346e3d4d6797f5322f121d8c0,2019-12,City of London Police,City of London Police,-0.097053,51.518262,On or near ALDERSGATE STREET,E01000001,City of London 001A,Investigation complete; no suspect identified
1b30a620f3c8631425271149193064bac87ee7d3133051c2725e61a99249e3bd,2019-12,City of London Police,City of London Police,-0.104281,51.516032,On or near BEAR ALLEY,E01032740,City of London 001G,Investigation complete; no suspect identified
b4e9e64ea3a46057dab5de24f563045dbb2c66d8ffca5d2f065643a5bb5cdb80,2019-12,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Investigation complete; no suspect identified
f3ca3fa948a7667b966f69d91f8b6f3fe0477f3f2dde96bae6304a8b10ca79bb,2019-12,City of London Police,City of London Police,-0.082458,51.517431,On or near LIVERPOOL STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
e1e343dabe5d12a99ca5085a0b399c4aace55dc616c0032c6bcad058e2b00893,2019-12,City of London Police,City of London Police,-0.082066,51.516147,On or near WORMWOOD STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
befe059196096405b3a9f0b864cd645e94173fbb3588baf3ef607cd3c788693d,2019-12,City of London Police,City of London Police,-0.096363,51.513377,On or near NEW CHANGE,E01032739,City of London 001F,Unable to prosecute suspect
e9283b64284e851c62e1573a2b98128b9bafeebcc61434e06d43c90a89c1adc5,2019-12,City of London Police,City of London Police,-0.080376,51.517244,On or near Supermarket,E01032739,City of London 001F,Investigation complete; no suspect identified
510f80fad05bbeb82e336d1afe618f7bef22ffb8e68afb5472c3efd46deeb29b,2019-12,City of London Police,City of London Police,-0.112939,51.518231,On or near SOUTHAMPTON BUILDINGS,E01032740,City of London 001G,Investigation complete; no suspect identified
5bd686b038defe40c5c57b6e8aeab4acf98a70012fb512107f8b66358e2a1d7d,2019-12,City of London Police,City of London Police,-0.079080,51.519615,On or near BISHOPSGATE,E01004307,Tower Hamlets 015B,Investigation complete; no suspect identified
9abfe5f4f9d1696113fceed3cf9b17e462bc679d75489c62af9ac699fc7d5ea3,2019-12,City of London Police,City of London Police,-0.078856,51.518433,On or near ARTILLERY LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
345a3dd67765a3c927f9c9219a40089ae1250211ce2711caf3da356c6b075c97,2019-12,City of London Police,City of London Police,-0.077777,51.518046,On or near SANDY'S ROW,E01032739,City of London 001F,Investigation complete; no suspect identified
2b48f46de1e349abddb7100ea82007d098a16eaa89da981ebf0d39c330337c85,2019-12,City of London Police,City of London Police,-0.077578,51.510795,On or near PEPYS STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
24c606ea6aa552500942d70482444641429f9ff319c256aaff93cc7b7288d742,2019-12,City of London Police,City of London Police,-0.088843,51.509532,On or near Parking Area,E01032739,City of London 001F,Investigation complete; no suspect identified
20e885b7d206fc98aa6ddcf20a8454aad3e64f462991228c070cc650d55fbf18,2019-12,City of London Police,City of London Police,-0.087118,51.513199,On or near Nightclub,E01032739,City of London 001F,Investigation complete; no suspect identified
a28f4930176f2e25e0b6fd3616bb0b0d2a96bc8b177ce70121a89a6cc3d350ea,2019-12,City of London Police,City of London Police,-0.079130,51.507808,On or near Ferry Terminal,E01004293,Tower Hamlets 027B,Investigation complete; no suspect identified
ef0c2c1c682d0ead2f32ef56e21d52ea5a31eb96ee7e5af8698b6dfb0a60e1f4,2019-12,City of London Police,City of London Police,-0.086728,51.510477,On or near KING WILLIAM STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
55d6b71c12507c745a6792bb9fd0807d280f47381951db16c3f67b9c17d9e253,2019-12,City of London Police,City of London Police,-0.085257,51.511200,On or near TALBOT COURT,E01032739,City of London 001F,Investigation complete; no suspect identified
1d501af7e826086a1705f2900929239e003a46797f44c4ff7391010966349023,2019-12,City of London Police,City of London Police,-0.109709,51.517909,On or near HIGH HOLBORN,E01032740,City of London 001G,Investigation complete; no suspect identified
391d42b8dd27c12a26cd98044eca200b1ea853bdf1c29976964b5b98c0fc2022,2019-12,City of London Police,City of London Police,-0.079080,51.519615,On or near BISHOPSGATE,E01004307,Tower Hamlets 015B,Unable to prosecute suspect
fda1e9f2cdcf5ac3e73a9a49577e306d02e89d7633e9b9c7673a0736ce7b5179,2019-12,City of London Police,City of London Police,-0.082913,51.513463,On or near LEADENHALL STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
b8bc915bc0a406dc30fe4ed3503dee60914e168d94c07693b68289710d98ca38,2019-12,City of London Police,City of London Police,-0.099818,51.519017,On or near CLOTH FAIR,E01032740,City of London 001G,Investigation complete; no suspect identified
16b25b957e35f5f1e4f9676c387aba8af9522fa8b5ba3e383aab30ef7666c264,2019-12,City of London Police,City of London Police,-0.082965,51.516351,On or near WORMWOOD STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
1176e29d9e658ae900c999f405ccf86383be42526b6c29ea93fd9a645ecd4909,2019-12,City of London Police,City of London Police,-0.102380,51.517728,On or near HOSIER LANE,E01032740,City of London 001G,Investigation complete; no suspect identified
2e3521c4995c3a3222a20773c62b254e7068b7f6e5e2a2aa138c685549f7cdf7,2019-12,City of London Police,City of London Police,-0.078665,51.509950,On or near MUSCOVY STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
f18137a19685ac7adc6c738623d6d27e0f9086d11de3e4c320f07a5ed06aa639,2019-12,City of London Police,City of London Police,-0.084701,51.509320,On or near LOWER THAMES STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
e86813c9de3894910e283e7876cc1644dbca3662668c90a8bad457798062e7af,2019-12,City of London Police,City of London Police,-0.094628,51.514203,On or near CHEAPSIDE,E01032739,City of London 001F,Investigation complete; no suspect identified
a1e7e7e25d8fe2e3a370c8ad107319a114511572ca48fecaef55c29f12bc8645,2019-12,City of London Police,City of London Police,-0.098500,51.519526,On or near MIDDLE STREET,E01032740,City of London 001G,Unable to prosecute suspect
40c73015f6081236f50a5168fea2b6436d8ab527ba518586ef55bef9805a9aa4,2019-12,City of London Police,City of London Police,-0.080146,51.514848,On or near BURY COURT,E01032739,City of London 001F,Investigation complete; no suspect identified
f2e7f132e7c7fe21106b4f0e16c5089d08bfdcc9b7fa9dcd72ee7e0c40dd22a7,2019-12,City of London Police,City of London Police,-0.083296,51.517058,On or near OLD BROAD STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
dc1fa0f787ea122bf9462dca96b249f2d977653637735811affb5d41c527e116,2019-12,City of London Police,City of London Police,-0.079080,51.519615,On or near BISHOPSGATE,E01004307,Tower Hamlets 015B,Investigation complete; no suspect identified
cf071e76169faccc9fe5aadfc6f5ec0810d5e0b0e8df61124889235cd23ed9ba,2019-12,City of London Police,City of London Police,-0.074210,51.511711,On or near PORTSOKEN STREET,E01000005,City of London 001E,Investigation complete; no suspect identified
680f99e064aba4eac12b7be52dbc13a5ae00dade6c1e50dc1d4879707df8a74c,2019-12,City of London Police,City of London Police,-0.082913,51.513463,On or near LEADENHALL STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
7d0ef6a0ce483352bf7509c3228e3a254bfb65a68f209ad9716f7cf90c0b186b,2019-12,City of London Police,City of London Police,-0.087118,51.513199,On or near Nightclub,E01032739,City of London 001F,Investigation complete; no suspect identified
a84591ee8f2a6fa35ead8bc4cf1e393897853a4950b6ffe4dc5fa12718d57237,2019-12,City of London Police,City of London Police,-0.089435,51.511223,On or near BUSH LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
907cc377323389e486c99b864db0316af708b42fc1ffe11e44a5f54e5b2c9287,2019-12,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Investigation complete; no suspect identified
f24a5decf04591203ebdaec024e9607f4fff6f464957fbb099217425743a9170,2019-12,City of London Police,City of London Police,-0.091258,51.514157,On or near FREDERICK'S PLACE,E01032739,City of London 001F,Investigation complete; no suspect identified
ad661fcfb135d50d6a5ce3345763a64dfca33101138fe40246f51dfea1e9875b,2019-12,City of London Police,City of London Police,-0.089596,51.518743,On or near NEW UNION STREET,E01000002,City of London 001B,Investigation complete; no suspect identified
52d5b1105a07e710f54261e2360a074c3ef39f3e00d848add2537f0b3f4e6981,2019-12,City of London Police,City of London Police,-0.003592,51.588496,On or near CUTHBERT ROAD,E01004471,Waltham Forest 013F,Investigation complete; no suspect identified
04abc7cb0ef0dc303db2f20269e8c4c7ab2cc4ca25a12689c06f1c8dd2973bb3,2019-12,City of London Police,City of London Police,-0.083417,51.513148,On or near WHITTINGTON AVENUE,E01032739,City of London 001F,Investigation complete; no suspect identified
0034d6feee3d32f0706661654409b68a2595cf8f24b718a4d0ac93eefa506411,2019-12,City of London Police,City of London Police,-0.093257,51.513920,On or near BOW LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
c887da31a0b18117dd5c1f18749ab43376d9d3c079cb2c8042c5d7c094c45a1e,2019-12,City of London Police,City of London Police,-0.084618,51.512682,On or near GRACECHURCH STREET,E01032739,City of London 001F,Suspect charged
5453fbf5588102355db2c2acaf7b76c78feec8c7dd2c24333a89f231d4ae50c9,2019-12,City of London Police,City of London Police,-0.092865,51.510182,On or near Parking Area,E01032739,City of London 001F,Suspect charged
20839d7b3060c2b1c8e7f57e9e7833f97ceed45abb16ce711f51d5b9288d8c05,2019-12,City of London Police,City of London Police,-0.081620,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Offender given a caution
f13a20fb498a5d399d53a34d032d075fa72d108e5932bcac0e6dc805b061c795,2019-12,City of London Police,City of London Police,-0.092267,51.511745,On or near CLOAK LANE,E01032739,City of London 001F,Offender given a caution
fb2ee73a244ef71e23006b71b08a5cc0a26586737041497f874a68563762b2c7,2019-12,City of London Police,City of London Police,-0.101320,51.519302,On or near GRAND AVENUE,E01032740,City of London 001G,Offender given a drugs possession warning
9e366bc90d0a28a127d860e89a4e3bb0fd8acaf58b241c11b89f9ecb1d09711a,2019-12,City of London Police,City of London Police,-0.089451,51.517032,On or near Bus/Coach Station,E01032739,City of London 001F,Suspect charged
3e4fee8c25cbf887c416fb38713821a6250bc6138e343087eedb4ac7f69b08c1,2019-12,City of London Police,City of London Police,-0.097736,51.520206,On or near Conference/Exhibition Centre,E01000001,City of London 001A,Local resolution
5263db8e48f061d26ee4fa0cba4014160a99725a7c403abb7ec799bc0eb1cb96,2019-12,City of London Police,City of London Police,-0.081620,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Suspect charged
56b29241ab0a8eff9beab14ffe125a1877b9c7dd2f569142203e390d88f93007,2019-12,City of London Police,City of London Police,-0.088621,51.518619,On or near MOORFIELDS,E01000002,City of London 001B,Suspect charged
24a283cf1f24013cf94affe4f601ed9d2e236cc85e9de467db4e768d868cdce6,2019-12,City of London Police,City of London Police,-0.108231,51.513928,On or near PLEYDELL STREET,E01032740,City of London 001G,Suspect charged
899228a3301f2dad683d5ff403bb3d18403dcc8757aa47b17e400abe29ea7660,2019-12,City of London Police,City of London Police,-0.106038,51.519873,On or near Nightclub,E01000916,Camden 027B,Suspect charged
11bc232ea93f5959299e59014ce4e39714c8fbe6848cdcb843ece5ce9d9e02db,2019-12,City of London Police,City of London Police,,,No location,,,Suspect charged
2a7864e3f9bb1fa2b04393f990a2865639b674ef2463b733193f3497bc14476f,2019-12,City of London Police,City of London Police,-0.073850,51.509313,On or near MANSELL STREET,E01004293,Tower Hamlets 027B,Suspect charged
034c3234b82f86467cad3bdea7e67e675d534ea2f72e580dd29510b5a7f4f570,2019-12,City of London Police,City of London Police,-0.089435,51.511223,On or near BUSH LANE,E01032739,City of London 001F,Suspect charged
6743508384ad3d98588435899baf32f937dd76fd8f7e11ec069582d56f9939fb,2019-12,City of London Police,City of London Police,-0.075508,51.514763,On or near Pedestrian Subway,E01000005,City of London 001E,Suspect charged
83eafa50f43375c6c677faadcb753cadeb78bfc39bd6695e73181b2b7d84da62,2019-12,City of London Police,City of London Police,-0.075508,51.514763,On or near Pedestrian Subway,E01000005,City of London 001E,Suspect charged
b79f5f2dfd486c7cb5577e9ee280b658ee876141a1c80faa1a1374dcc25027dd,2019-12,City of London Police,City of London Police,-0.104494,51.509848,On or near A201,E01032739,City of London 001F,Offender given a caution
b79f5f2dfd486c7cb5577e9ee280b658ee876141a1c80faa1a1374dcc25027dd,2019-12,City of London Police,City of London Police,-0.104494,51.509848,On or near A201,E01032739,City of London 001F,Offender given a caution
ca9ab931f04f311bae7e127be2ffbed7d41214d4408958b148dbf793725e3d7d,2019-12,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Offender given a caution
10677f7239d9ef286470553f3bd7fe4b3d59aad4bc7936be9f009970d778152a,2019-12,City of London Police,City of London Police,-0.080376,51.517244,On or near Supermarket,E01032739,City of London 001F,Suspect charged
3aada0f7593dff5799ce0340d35a0d53d50b74338e0b7cc358646044fa8eb1ce,2019-12,City of London Police,City of London Police,-0.084967,51.512598,On or near BELL INN YARD,E01032739,City of London 001F,Suspect charged
0a22a7eb57a21f99392d87444d2e8f944e9ac653c65af8904d247c59c42a2909,2019-12,City of London Police,City of London Police,-0.089451,51.517032,On or near Bus/Coach Station,E01032739,City of London 001F,Offender given a caution
81196edaa7d4b28d14aecb931621bc8f04840831b0dcc6c35f016923d7a3005a,2019-12,City of London Police,City of London Police,-0.075841,51.523977,On or near EBOR STREET,E01033708,Hackney 027G,Offender given penalty notice
4faac020428950f3a43922b4acdf9f0eebf4a3e751bbcc4bd670593faf69299d,2019-12,City of London Police,City of London Police,-0.085149,51.517196,On or near BLOMFIELD STREET,E01032739,City of London 001F,Suspect charged
ba91daaa74066023b6ed895618c3103a5b72beb15dbc3a9ec6a2e49f35139588,2019-12,City of London Police,City of London Police,-0.087549,51.514276,On or near BARTHOLOMEW LANE,E01032739,City of London 001F,Suspect charged
9a7e320ad1b50c70bc920f791b819da32a2288aa0dec91aa79ee2b9ae1b4f69f,2019-12,City of London Police,City of London Police,-0.093493,51.513447,On or near BOW LANE,E01032739,City of London 001F,Suspect charged
c26d3f8217bb40c5817c9a0ddb2979e1fd2fe88abdd6cdce6df6db380dfac2d3,2019-12,City of London Police,City of London Police,-0.079448,51.511554,On or near FENCHURCH PLACE,E01032739,City of London 001F,Suspect charged
cca695873f7f8ddc3328541c6e5a9f701553b563fd7e088fe2d7da996d3e2120,2019-12,City of London Police,City of London Police,-0.084967,51.512598,On or near BELL INN YARD,E01032739,City of London 001F,Suspect charged
61f757555dd00cc0ce9dcce34452d3c8c2473531c49d97c0cf3023523c158451,2019-12,City of London Police,City of London Police,-0.081620,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Suspect charged
33cd64cbfda46bffc4a47cdc4a8ee857782c4450667c19bb1c665a37a87988fd,2019-12,City of London Police,City of London Police,-0.078484,51.517680,On or near CATHERINE WHEEL ALLEY,E01032739,City of London 001F,Offender given a drugs possession warning
4be95f8ebe4ac545ae64c6787574f16916994cd2c055dd212c83ac72d0aca316,2019-12,City of London Police,City of London Police,,,No location,,,Offender given penalty notice
dbd76f2e9b678ce38d7da8f0ff5a681157fb915685b3a61fe9ba7f9b8395233e,2019-12,City of London Police,City of London Police,-0.074901,51.506255,On or near A100,E01004293,Tower Hamlets 027B,Suspect charged
dbd76f2e9b678ce38d7da8f0ff5a681157fb915685b3a61fe9ba7f9b8395233e,2019-12,City of London Police,City of London Police,-0.074901,51.506255,On or near A100,E01004293,Tower Hamlets 027B,Suspect charged
dbd76f2e9b678ce38d7da8f0ff5a681157fb915685b3a61fe9ba7f9b8395233e,2019-12,City of London Police,City of London Police,-0.074901,51.506255,On or near A100,E01004293,Tower Hamlets 027B,Suspect charged
84057a898a8b7aca6c9079353900ffbe1b0696b0de959e0ff7eeebd314fd9744,2019-12,City of London Police,City of London Police,-0.081620,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Offender given a caution
38e2ee4369a8363d4130714d3ad0d702db55a67e6b8644937316abfac564bf6f,2019-12,City of London Police,City of London Police,-0.081620,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Offender given a drugs possession warning
f9e9881dcd55ecc71dab986d792ca86d1a57a3a120b0d8abe1b56a417baa9928,2019-12,City of London Police,City of London Police,-0.081549,51.511625,On or near MINCING LANE,E01032739,City of London 001F,Offender given a drugs possession warning
f772d52a4a5c1687b328778510f9ab894249c9d0c641eb9c69e0153569766ee5,2019-12,City of London Police,City of London Police,-0.088203,51.518262,On or near MOORGATE,E01032739,City of London 001F,Suspect charged
20eae461841d3d3032784f3313c0417958f2c4ed8313e031001982b92d848472,2019-12,City of London Police,City of London Police,-0.088203,51.518262,On or near MOORGATE,E01032739,City of London 001F,Suspect charged
f4973463cce0dae2d8306af6fcc6138b46fb787273a75b6a19ba4965cb4dbd93,2019-12,City of London Police,City of London Police,-0.089716,51.514501,On or near PRINCE'S STREET,E01032739,City of London 001F,Suspect charged
bc357724b493fed595919f6a946592c4d605f175385aaae79632be1e4259cb93,2019-12,City of London Police,City of London Police,-0.090710,51.513132,On or near QUEEN VICTORIA STREET,E01032739,City of London 001F,Offender given a drugs possession warning
2ef84c648bd9dbdc68ac224251a0b972d8ad802b4024c41bc38db9d36d82da00,2019-12,City of London Police,City of London Police,-0.080376,51.517244,On or near Supermarket,E01032739,City of London 001F,Suspect charged
bdb07cc1477967e72f4db6645ffa62176d3ae89b4f6cf65be7812b63ef8d41a8,2019-12,City of London Police,City of London Police,-0.080376,51.517244,On or near Supermarket,E01032739,City of London 001F,Suspect charged
614c493b6ca1685dd55343c1eb511aebb1b2fb84430e2148c9d293bb851922d2,2019-12,City of London Police,City of London Police,-0.085257,51.511200,On or near TALBOT COURT,E01032739,City of London 001F,Suspect charged
bf0b830f2d35c70e4307c5c48e64071ac15b52575b3218c5861cbb032af12008,2019-12,City of London Police,City of London Police,-0.105900,51.516966,On or near PLUMTREE COURT,E01032740,City of London 001G,Offender given a caution
e2c83a6a77e1aea228e0db39a077f5f9427f950cb77ffd9ec7be94e306ea2dec,2019-12,City of London Police,City of London Police,,,No location,,,Offender given a drugs possession warning
e27afa44518f2253309d86deb440b41ec40080875150af09b9d65a28c9b5060a,2019-12,City of London Police,City of London Police,-0.074901,51.506255,On or near A100,E01004293,Tower Hamlets 027B,Offender given a caution
dbfdc8879cf21eb49a69b5aff6414ebe6ea1d47ef0e0003d67ae15e5d611730d,2019-12,City of London Police,City of London Police,-0.074958,51.514151,On or near ALDGATE HIGH STREET,E01000005,City of London 001E,Offender given a drugs possession warning
06d05765ad19245a545e233a8f2ea56619f40a7b9e42f75e995b9bd3a457cffe,2019-12,City of London Police,City of London Police,-0.081620,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Offender given a drugs possession warning
747024a22b6694a4ef688f8bab19682f11062610ec3d0e533a6b2af4ef0be397,2019-12,City of London Police,City of London Police,-0.081620,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Offender given a drugs possession warning
919e77eb5f601cb2c74cb2fd48bfb7d83acc980b10e90aa7886567517f57cd98,2019-12,City of London Police,City of London Police,-0.076435,51.513627,On or near ALDGATE,E01000005,City of London 001E,Offender given a caution
ef4bebd3290d6bec33194974e0daba00c9311920fbac46a0d0c4d342c7546f8e,2019-12,City of London Police,City of London Police,-0.079398,51.516508,On or near DEVONSHIRE SQUARE,E01032739,City of London 001F,Offender given a drugs possession warning
ef17562369e371b51caba5287cb512ce9cb31fb8d9ccdb5c40683bbb6b7a6cd6,2019-12,City of London Police,City of London Police,-0.076747,51.517184,On or near STRYPE STREET,E01004307,Tower Hamlets 015B,Offender given a caution
09fcc5bfbfc6024cb1913c7e8c6ba0a3737d609856408550f0ff516293829478,2019-12,City of London Police,City of London Police,-0.088843,51.509532,On or near Parking Area,E01032739,City of London 001F,Local resolution
665cf427357befba370fde75eb436ad9e75924d44300cd829a2128c79611c078,2019-12,City of London Police,City of London Police,-0.084967,51.512598,On or near BELL INN YARD,E01032739,City of London 001F,Suspect charged
5f6e5b0e5643e4ad9f4c446e18aca3f56e827086aa3b3001c46c1ab9c0e35a76,2019-12,City of London Police,City of London Police,-0.081620,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Suspect charged
1fe0cd6b50b0d48c44dec0dd401ca35332b9364db84168c7ff5ccb9bc87b7f13,2019-12,City of London Police,City of London Police,-0.077578,51.510795,On or near PEPYS STREET,E01032739,City of London 001F,Offender given a caution
7f8ded1a91e8580d9fbe7fb0ca7b2cbb3a00fce21823bb84cf012fa91315fd4e,2019-12,City of London Police,City of London Police,-0.101452,51.512650,On or near ST ANDREW'S HILL,E01032739,City of London 001F,Offender given a caution
999959ff2dd6690aa90afe9f01150c5d474ca740a3c278559e9eaea76dbf66df,2019-12,City of London Police,City of London Police,-0.089451,51.517032,On or near Bus/Coach Station,E01032739,City of London 001F,Offender given a drugs possession warning
7b2af52863c3c2955db0077d60434e0c3ce61add3982f13d148a14b1290f0400,2019-12,City of London Police,City of London Police,-0.084967,51.512598,On or near BELL INN YARD,E01032739,City of London 001F,Offender given a caution
