id,Crime Count Predicted,Crime Count
901,160.96,106
899,100.2,101
861,99.5,100
900,93.92,20
939,92.6,50
941,85.2,47
902,80.35,40
822,69.99,18
976,69.52,60
1016,56.61,39
380,56.02,49
865,54.04,52
820,48.87,47
903,47.46,50
980,46.24,31
981,44.28,30
938,44.18,73
940,43.14,30
982,42.23,18
700,41.44,38
508,39.57,38
860,37.77,41
701,37.51,28
1022,37.51,32
780,36.69,29
703,35.77,23
898,35.7,80
1053,33.98,48
741,31.18,16
340,30.79,31
897,30.2,51
1129,30.17,36
937,29.98,35
1019,29.94,36
1018,29.82,46
710,29.13,25
857,29.05,18
1015,28.89,33
1180,28.87,19
859,28.65,49
739,28.56,29
904,28.54,41
1096,28.47,38
974,28.31,59
824,28.12,34
1061,27.1,17
825,27.03,37
821,26.97,32
1056,26.88,28
1137,26.83,33
740,26.59,32
544,26.43,12
1101,26.26,22
743,26.25,25
1100,25.77,33
973,25.11,37
986,24.86,34
696,24.61,28
781,24.37,14
1059,24.21,24
1060,23.83,26
1020,23.79,9
823,23.76,20
863,23.71,11
944,23.66,42
1179,23.37,28
935,23.09,16
978,22.98,30
942,22.94,9
896,22.75,20
908,22.38,9
742,22.35,15
1220,22.28,18
818,22.21,27
1259,21.05,21
1139,20.92,22
862,20.53,23
819,20.51,44
455,20.04,24
975,19.96,30
979,19.96,33
776,19.78,16
867,19.75,20
1068,19.4275,13
754,19.24,11
1149,19.22,31
737,18.88,24
813,18.72,27
784,18.57,31
1219,18.42,10
1021,18.02,16
783,17.92,11
420,17.91,22
856,17.71,13
744,17.71,9
943,17.58,11
905,17.5,24
664,17.4,22
984,17.4,14
1064,17.16,6
869,16.62,11
623,16.34,9
738,16.28,25
1140,16.25,11
828,16.18,9
1024,16.18,27
866,16.13,16
617,15.98,25
498,15.72,12
702,15.67,9
755,15.48,17
773,15.48,34
428,15.44,5
912,15.418846153846152,22
858,15.34,22
864,15.33,18
934,15.32,27
654,14.96,18
854,14.81,4
542,14.75,10
1097,14.64,13
977,14.56,14
583,14.51,4
751,14.25,13
576,14.16777777777778,9
750,14.16,32
650,14.12,11
580,13.91,13
1145,13.88,8
577,13.86,13
1298,13.72,19
344,13.66,11
704,13.42,8
377,13.38,2
817,13.35,18
951,13.228333333333332,14
302,13.2,18
1067,13.16,28
1058,13.07,17
711,13.02,22
1092,12.99,13
708,12.93,9
379,12.87,10
782,12.82,12
1023,12.71,16
1178,12.64,5
874,12.61,8
1136,12.52,22
582,12.48,19
871,12.391666666666667,33
777,12.38,20
906,12.17,12
1098,12.16,5
1141,12.15,7
1035,12.15,15
792,12.04,3
911,11.85,12
1099,11.79,20
1187,11.76,4
661,11.71,12
831,11.5,13
657,11.46,9
1218,11.38,10
1177,11.35,22
1303,11.24,12
855,11.19,9
1185,11.19,5
622,11.15,5
816,11.0,11
541,10.99,11
632,10.97,13
1014,10.94,18
1050,10.89,9
507,10.88,6
933,10.74,16
1263,10.7,23
788,10.69,11
1128,10.67,5
1258,10.66,12
372,10.56,4
461,10.53,16
459,10.46,23
466,10.45,8
868,10.32,6
895,10.3,19
503,10.27,15
463,10.16,10
785,10.15,12
1093,10.14,20
1378,10.06,13
1062,10.04,10
983,10.03,15
1175,10.03,1
1182,9.97,3
543,9.96,12
1419,9.91,8
332,9.84,5
699,9.83,7
952,9.810929487179488,7
945,9.8,7
497,9.74,4
578,9.7,13
502,9.67,15
769,9.62,4
1189,9.55,15
460,9.54,24
1424,9.52,6
1299,9.48,10
538,9.47,6
736,9.45,3
629,9.22,9
775,9.19,14
1225,9.18,2
303,9.12,11
467,9.11,2
826,9.09,18
1104,9.06,9
192,9.04,1
1017,9.03,10
990,8.99,7
1110,8.84,22
970,8.8,20
581,8.8,9
621,8.75,12
1296,8.73,7
1536,8.71,1
698,8.68,10
660,8.67,11
1257,8.59,7
870,8.550929487179488,14
1133,8.52,20
930,8.46,4
697,8.44,10
791,8.43,7
779,8.42,34
752,8.37,6
495,8.36,8
1089,8.35,12
991,8.31,13
1026,8.3075,34
1066,8.21,26
304,8.15,3
536,8.15,7
770,8.12,3
381,8.04,9
1012,8.006622627372627,16
936,7.96,6
1028,7.94,17
787,7.9,6
613,7.87,6
1458,7.84,13
301,7.8,14
1422,7.8,3
713,7.79,2
772,7.783166666666666,20
1047,7.78,6
496,7.76,6
1380,7.75,2
1071,7.7,10
1256,7.7,6
1135,7.7,4
1229,7.7,12
1108,7.69,4
539,7.67,12
954,7.67,9
665,7.62,11
468,7.54,7
1266,7.48,4
1186,7.48,26
988,7.47,12
1148,7.46,6
620,7.45,9
1497,7.42,7
729,7.4,5
811,7.39,13
1176,7.25,12
914,7.21,8
950,7.2,3
985,7.2,11
1210,7.13,7
656,7.11,9
948,7.09,4
689,7.06,8
778,7.04,17
663,6.99,10
1188,6.97,4
615,6.95,3
734,6.913333333333334,9
1095,6.87,6
1223,6.865,2
814,6.83,18
1537,6.81,2
589,6.81,1
1105,6.81,16
1025,6.8,13
1338,6.77,14
749,6.76,14
1010,6.752333333333333,9
670,6.72,4
972,6.71,13
501,6.64,4
1261,6.63,5
694,6.59,5
1055,6.56,14
382,6.56,5
815,6.54,5
971,6.522874458874458,11
969,6.49,9
1215,6.46,5
342,6.43,8
910,6.404166666666666,16
1052,6.4,13
1340,6.34,7
673,6.34,9
1057,6.33,2
1193,6.2876666666666665,2
573,6.27,5
692,6.26,5
1226,6.22,12
545,6.184,2
1216,6.154422605172606,8
618,6.15,10
909,6.14,11
590,6.12,5
747,6.06,3
591,6.03,8
338,6.02,3
1031,6.015,3
343,6.01,3
649,6.0,4
383,5.99,12
872,5.982,25
1173,5.96,6
1222,5.95,5
894,5.92,24
1030,5.9,4
1153,5.9,1
1134,5.87,6
435,5.86,1
1054,5.86,12
915,5.85,9
306,5.81,2
1011,5.78,9
419,5.775,15
388,5.71,3
378,5.68,3
1260,5.68,14
1102,5.67,7
549,5.66,6
669,5.66,6
1231,5.62,4
1184,5.585,3
774,5.58,12
995,5.57,9
1106,5.560716894216894,18
1174,5.560716894216894,4
260,5.56,4
101,5.56,2
949,5.52,4
1221,5.5,15
789,5.495,4
1150,5.48,6
1418,5.48,8
1382,5.47,9
695,5.46,6
181,5.46,2
1262,5.46,10
261,5.46,4
374,5.43210150960151,1
1034,5.42,1
1072,5.42,5
947,5.38,10
386,5.37,1
415,5.36,5
1336,5.31,6
1113,5.29,13
182,5.27,4
499,5.21,13
1087,5.195,2
264,5.175,3
662,5.17,2
1088,5.135,4
691,5.13,5
504,5.1,3
1070,5.08,7
1029,5.0775,5
619,5.07,2
793,5.056666666666667,6
1217,5.04,14
384,5.0,6
812,4.99,7
1013,4.99,23
745,4.97,2
834,4.931333333333333,3
1247,4.92,10
1138,4.92,5
1255,4.91,1
735,4.88,7
505,4.88,5
1008,4.87,5
424,4.85,17
610,4.7945,2
465,4.76,2
95,4.75,3
655,4.74,6
500,4.738095238095238,20
706,4.73,12
592,4.725,2
1227,4.72,14
827,4.72,7
746,4.701666666666666,4
1181,4.66,4
1027,4.65,8
1009,4.65,1
1342,4.644857142857143,1
1379,4.64,2
341,4.64,5
932,4.63,4
252,4.625,1
1046,4.61,2
1069,4.59,8
422,4.59,5
1308,4.59,5
625,4.565555555555555,3
574,4.56,12
1343,4.53,1
616,4.5,8
575,4.494,7
853,4.44,3
44,4.43,1
630,4.43,6
141,4.43,4
1144,4.42,6
1152,4.41,3
427,4.41,4
217,4.37,7
795,4.36,3
1268,4.34,2
1459,4.33,5
586,4.311787157287157,2
624,4.31,4
385,4.31,3
832,4.3,16
672,4.29,6
693,4.29,3
1207,4.2683333333333335,13
257,4.25,13
913,4.248571428571429,9
851,4.245833333333333,11
1538,4.23,5
423,4.225,6
659,4.22,2
833,4.22,13
907,4.19,3
452,4.18,4
1065,4.18,9
1167,4.16,5
532,4.15,7
1208,4.1433333333333335,13
140,4.1138708513708515,2
426,4.11,3
1339,4.1,6
1457,4.09,5
411,4.08,13
418,4.035,7
1051,4.032857142857143,5
414,4.02,3
464,3.99,12
1224,3.99,1
1206,3.957142857142857,7
889,3.935,1
666,3.93,3
668,3.91,1
955,3.91,8
1228,3.91,11
709,3.9,6
1232,3.87,3
1143,3.8408928571428573,1
1107,3.84,5
946,3.81,1
1151,3.8,2
1190,3.79,6
462,3.785,9
1420,3.78,2
707,3.78,9
1341,3.78,2
1254,3.766,8
537,3.76,8
1301,3.7597619047619046,2
1302,3.7460000000000004,3
219,3.74,1
1265,3.74,4
1460,3.71,1
830,3.69,4
786,3.6623333333333337,3
658,3.66,2
1169,3.66,3
540,3.66,2
221,3.66,2
421,3.64,7
572,3.63,6
533,3.63,1
387,3.62,5
1300,3.59,6
1417,3.59,4
584,3.58,6
968,3.58,1
1109,3.57,1
1090,3.559166666666667,9
1273,3.55,1
425,3.53,10
1270,3.52,3
1111,3.5,4
611,3.487772560772561,6
345,3.48,4
1209,3.4776666666666665,2
931,3.4746428571428574,4
631,3.4525,8
835,3.4350476190476176,3
648,3.4133376068376067,1
705,3.4,5
987,3.39,5
893,3.38,6
753,3.38,1
579,3.3633333333333337,8
653,3.36,3
1267,3.36,16
547,3.34,2
300,3.32,2
651,3.32,7
652,3.27,3
1337,3.2571154401154403,1
1094,3.2451785714285712,3
339,3.2376984126984127,4
873,3.23,19
674,3.2271428571428573,1
1306,3.2260000000000004,2
548,3.22,2
733,3.2126666666666663,4
297,3.2087839105339104,4
451,3.2043333333333326,2
493,3.1790000000000003,1
612,3.17,4
1384,3.17,4
1230,3.168095238095238,3
1063,3.16,3
614,3.14,5
730,3.14,8
690,3.13,3
1006,3.1,1
299,3.08,4
308,3.07,3
794,2.99,7
1213,2.972858585858586,3
491,2.97,3
1091,2.9666666666666663,14
888,2.96,6
852,2.95,6
771,2.947043650793651,1
531,2.94,1
555,2.9293333333333336,1
1045,2.908761904761905,1
875,2.86,2
993,2.828183621933622,5
1214,2.8,3
1048,2.77,3
953,2.76742673992674,4
337,2.73,7
829,2.73,3
535,2.706388888888889,5
220,2.68,3
728,2.648285714285714,1
1297,2.6408333333333336,11
1252,2.64,8
790,2.6376868686868686,3
334,2.63,4
416,2.6,2
989,2.59,7
1131,2.5694761904761902,11
628,2.56,4
60,2.5554545454545456,1
1142,2.53,2
1349,2.51,6
1251,2.452642801642801,1
216,2.398846153846154,2
1212,2.392,2
731,2.376181318681319,3
929,2.364679487179487,6
1132,2.36,9
1269,2.35,3
1112,2.32,10
1307,2.31,2
1421,2.29,2
456,2.272,5
429,2.201,1
571,2.195,3
457,2.19,1
